token	corpus size	all contexts size	frequency	co-frequency	specificity
vitriol	193367	11995	3	3	3.62
esprit-de-vin	193367	11995	3	3	3.62
1878-1932	193367	11995	3	3	3.62
s'évanouir	193367	11995	3	3	3.62
1863	193367	11995	3	3	3.62
lutin	193367	11995	3	3	3.62
-chr	193367	11995	3	3	3.62
ôter	193367	11995	3	3	3.62
d'à-propos	193367	11995	3	3	3.62
frappeur	193367	11995	3	3	3.62
rayons	193367	11995	3	3	3.62
psychomotriciens	193367	11995	3	3	3.62
détrompez-vous	193367	11995	3	3	3.62
démon	193367	11995	16	6	3.62
revenir	193367	11995	11	5	3.54
soft	193367	11995	120	18	3.54
psychique	193367	11995	17	6	3.46
ange	193367	11995	7	4	3.37
barrès	193367	11995	7	4	3.37
immatériel	193367	11995	7	4	3.37
pensez	193367	11995	7	4	3.37
mot	193367	11995	56	11	3.36
vieilli	193367	11995	12	5	3.33
avait	193367	11995	40	9	3.29
français	193367	11995	129	18	3.18
modifier	193367	11995	99	15	3.12
corresp	193367	11995	8	4	3.10
littré	193367	11995	8	4	3.10
pauvres	193367	11995	8	4	3.10
synonyme	193367	11995	8	4	3.10
noble	193367	11995	4	3	3.05
rolland	193367	11995	4	3	3.05
inquiétude	193367	11995	4	3	3.05
pénétrer	193367	11995	4	3	3.05
rêveries	193367	11995	4	3	3.05
purs	193367	11995	4	3	3.05
coubertin	193367	11995	4	3	3.05
psychomot	193367	11995	4	3	3.05
marvin	193367	11995	4	3	3.05
l'exposition	193367	11995	4	3	3.05
âmes	193367	11995	21	6	2.93
rochefoucauld	193367	11995	9	4	2.87
1971	193367	11995	15	5	2.84
nom	193367	11995	65	11	2.83
parti	193367	11995	22	6	2.82
dit	193367	11995	107	15	2.79
internationale	193367	11995	23	6	2.71
qqn	193367	11995	16	5	2.70
aucun	193367	11995	31	7	2.70
sel	193367	11995	5	3	2.68
émotion	193367	11995	5	3	2.68
sc	193367	11995	5	3	2.68
heureux	193367	11995	5	3	2.68
fig	193367	11995	5	3	2.68
1914	193367	11995	5	3	2.68
satan	193367	11995	5	3	2.68
évoquer	193367	11995	5	3	2.68
synthétique	193367	11995	5	3	2.68
d'observation	193367	11995	5	3	2.68
iron	193367	11995	5	3	2.68
canada	193367	11995	5	3	2.68
d'escalier	193367	11995	5	3	2.68
porté	193367	11995	10	4	2.67
duc	193367	11995	10	4	2.67
1613-paris	193367	11995	10	4	2.67
mens	193367	11995	10	4	2.67
corpore	193367	11995	10	4	2.67
idée	193367	11995	40	8	2.66
inspiration	193367	11995	17	5	2.58
me	193367	11995	102	14	2.58
compétition	193367	11995	25	6	2.52
synthèse	193367	11995	11	4	2.51
expressions	193367	11995	11	4	2.51
rivista	193367	11995	11	4	2.51
âme	193367	11995	18	5	2.47
dieu	193367	11995	165	19	2.42
masc	193367	11995	2	2	2.41
aspirée	193367	11995	2	2	2.41
absol	193367	11995	2	2	2.41
pourrat	193367	11995	2	2	2.41
gaspard	193367	11995	2	2	2.41
parfums	193367	11995	2	2	2.41
liqueurs	193367	11995	2	2	2.41
alcoolat	193367	11995	2	2	2.41
sulfureux	193367	11995	2	2	2.41
geoffroy	193367	11995	2	2	2.41
prat	193367	11995	2	2	2.41
obtenu	193367	11995	2	2	2.41
transporte	193367	11995	2	2	2.41
recouvrer	193367	11995	2	2	2.41
Âmes	193367	11995	2	2	2.41
malfaisante	193367	11995	2	2	2.41
immonde	193367	11995	2	2	2.41
1839	193367	11995	2	2	2.41
malveillant	193367	11995	2	2	2.41
frappeurs	193367	11995	2	2	2.41
audacieux	193367	11995	2	2	2.41
agiter	193367	11995	2	2	2.41
égaré	193367	11995	2	2	2.41
mesquin	193367	11995	2	2	2.41
largeur	193367	11995	2	2	2.41
étroitesse	193367	11995	2	2	2.41
visions	193367	11995	2	2	2.41
borné	193367	11995	2	2	2.41
superficiel	193367	11995	2	2	2.41
orné	193367	11995	2	2	2.41
cultivé	193367	11995	2	2	2.41
orme	193367	11995	2	2	2.41
1897	193367	11995	2	2	2.41
d'oublier	193367	11995	2	2	2.41
benda	193367	11995	2	2	2.41
s'afficher	193367	11995	2	2	2.41
l'orientation	193367	11995	2	2	2.41
d'abstraction	193367	11995	2	2	2.41
1905	193367	11995	2	2	2.41
d'examen	193367	11995	2	2	2.41
scintillant	193367	11995	2	2	2.41
mod	193367	11995	2	2	2.41
instinct	193367	11995	2	2	2.41
conciliation	193367	11995	2	2	2.41
cherchez	193367	11995	2	2	2.41
alliés	193367	11995	2	2	2.41
d'âmes	193367	11995	2	2	2.41
apaiser	193367	11995	2	2	2.41
alerte	193367	11995	2	2	2.41
lin	193367	11995	2	2	2.41
substantifs	193367	11995	2	2	2.41
pîtres	193367	11995	2	2	2.41
démêler	193367	11995	2	2	2.41
émotif	193367	11995	2	2	2.41
astronomique	193367	11995	2	2	2.41
renferment	193367	11995	2	2	2.41
hermès	193367	11995	2	2	2.41
jaillissent	193367	11995	2	2	2.41
déversent	193367	11995	2	2	2.41
created	193367	11995	2	2	2.41
vôtre	193367	11995	2	2	2.41
evaleur	193367	11995	2	2	2.41
camaraderie	193367	11995	2	2	2.41
mve	193367	11995	2	2	2.41
reca	193367	11995	2	2	2.41
l'extra	193367	11995	2	2	2.41
pensent-ils	193367	11995	2	2	2.41
alimenter	193367	11995	2	2	2.41
electronic	193367	11995	2	2	2.41
critique's	193367	11995	2	2	2.41
fraîcheur	193367	11995	6	3	2.40
imagination	193367	11995	6	3	2.40
cartésien	193367	11995	6	3	2.40
original	193367	11995	6	3	2.40
beaux	193367	11995	6	3	2.40
incorporelle	193367	11995	6	3	2.40
québec	193367	11995	6	3	2.40
déva	193367	11995	6	3	2.40
candidature	193367	11995	6	3	2.40
l'humain	193367	11995	6	3	2.40
large	193367	11995	35	7	2.40
sans	193367	11995	229	24	2.38
étroit	193367	11995	12	4	2.36
origines	193367	11995	12	4	2.36
ou	193367	11995	714	59	2.30
leur	193367	11995	327	31	2.26
peur	193367	11995	20	5	2.26
l'époque	193367	11995	20	5	2.26
saint-esprit	193367	11995	89	12	2.26
matières	193367	11995	13	4	2.23
vital	193367	11995	7	3	2.19
subtil	193367	11995	7	3	2.19
distillation	193367	11995	7	3	2.19
alcool	193367	11995	7	3	2.19
vois	193367	11995	7	3	2.19
ouvrir	193367	11995	7	3	2.19
sacrifice	193367	11995	7	3	2.19
pauvre	193367	11995	7	3	2.19
1868-le	193367	11995	7	3	2.19
spécialement	193367	11995	7	3	2.19
composé	193367	11995	7	3	2.19
tr	193367	11995	7	3	2.19
intention	193367	11995	14	4	2.11
perdu	193367	11995	14	4	2.11
ton	193367	11995	14	4	2.11
exercer	193367	11995	14	4	2.11
organisateur	193367	11995	14	4	2.11
signifie	193367	11995	22	5	2.09
claudel	193367	11995	8	3	2.01
invisible	193367	11995	8	3	2.01
1885	193367	11995	8	3	2.01
parfaite	193367	11995	8	3	2.01
beau	193367	11995	8	3	2.01
synt	193367	11995	8	3	2.01
n'était	193367	11995	8	3	2.01
vésinet	193367	11995	8	3	2.01
obligé	193367	11995	8	3	2.01
historiques	193367	11995	8	3	2.01
entités	193367	11995	8	3	2.01
parvenir	193367	11995	8	3	2.01
sano	193367	11995	8	3	2.01
électronique	193367	11995	8	3	2.01
internacional	193367	11995	8	3	2.01
table	193367	11995	23	5	2.01
hugo	193367	11995	15	4	2.00
d'idées	193367	11995	15	4	2.00
civique	193367	11995	15	4	2.00
contradiction	193367	11995	15	4	2.00
png	193367	11995	15	4	2.00
psychopathologie	193367	11995	15	4	2.00
1933	193367	11995	3	2	1.97
remplit	193367	11995	3	2	1.97
huysmans	193367	11995	3	2	1.97
d'alcool	193367	11995	3	2	1.97
éthylique	193367	11995	3	2	1.97
1865	193367	11995	3	2	1.97
1796	193367	11995	3	2	1.97
violente	193367	11995	3	2	1.97
prompt	193367	11995	3	2	1.97
suis-je	193367	11995	3	2	1.97
possédé	193367	11995	3	2	1.97
l'inspirer	193367	11995	3	2	1.97
hantée	193367	11995	3	2	1.97
inquiet	193367	11995	3	2	1.97
vif	193367	11995	3	2	1.97
s'élever	193367	11995	3	2	1.97
joffre	193367	11995	3	2	1.97
curé	193367	11995	3	2	1.97
compl	193367	11995	3	2	1.97
supra	193367	11995	3	2	1.97
attachement	193367	11995	3	2	1.97
excessif	193367	11995	3	2	1.97
enclin	193367	11995	3	2	1.97
apprécier	193367	11995	3	2	1.97
odeur	193367	11995	3	2	1.97
orner	193367	11995	3	2	1.97
1715	193367	11995	3	2	1.97
connaissent	193367	11995	3	2	1.97
Étymologie	193367	11995	3	2	1.97
peuplé	193367	11995	3	2	1.97
chagrin	193367	11995	3	2	1.97
gloire	193367	11995	3	2	1.97
servent	193367	11995	3	2	1.97
php	193367	11995	3	2	1.97
mediawiki	193367	11995	3	2	1.97
anagrammes	193367	11995	3	2	1.97
hyponymes	193367	11995	3	2	1.97
vosges	193367	11995	3	2	1.97
e-learning	193367	11995	3	2	1.97
produite	193367	11995	3	2	1.97
exact	193367	11995	3	2	1.97
senti	193367	11995	3	2	1.97
augmentée	193367	11995	3	2	1.97
innovants	193367	11995	3	2	1.97
spontanée	193367	11995	3	2	1.97
pointent	193367	11995	3	2	1.97
pilier	193367	11995	3	2	1.97
masters	193367	11995	3	2	1.97
diffusés	193367	11995	3	2	1.97
originales	193367	11995	3	2	1.97
sociology	193367	11995	3	2	1.97
mmsh	193367	11995	3	2	1.97
bonne	193367	11995	43	7	1.94
disposition	193367	11995	24	5	1.94
principe	193367	11995	76	10	1.93
faire	193367	11995	202	20	1.91
être	193367	11995	270	25	1.90
qu'en	193367	11995	16	4	1.90
finesse	193367	11995	16	4	1.90
svg	193367	11995	16	4	1.90
génie	193367	11995	25	5	1.87
sainte	193367	11995	9	3	1.86
1927	193367	11995	9	3	1.86
1680	193367	11995	9	3	1.86
réfère	193367	11995	9	3	1.86
meilleures	193367	11995	9	3	1.86
divin	193367	11995	35	6	1.84
avec	193367	11995	563	45	1.83
fr	193367	11995	116	13	1.82
dossiers	193367	11995	17	4	1.81
tant	193367	11995	57	8	1.80
projets	193367	11995	26	5	1.80
de	193367	11995	9136	577	1.80
und	193367	11995	27	5	1.74
valeurs	193367	11995	37	6	1.74
les	193367	11995	3322	219	1.74
créé	193367	11995	10	3	1.74
dominante	193367	11995	10	3	1.74
équilibré	193367	11995	10	3	1.74
archive	193367	11995	10	3	1.74
zeitschrift	193367	11995	10	3	1.74
flux	193367	11995	48	7	1.73
selon	193367	11995	108	12	1.71
attaque	193367	11995	4	2	1.69
1862	193367	11995	4	2	1.69
rem	193367	11995	4	2	1.69
ardent	193367	11995	4	2	1.69
plur	193367	11995	4	2	1.69
hauteur	193367	11995	4	2	1.69
1869	193367	11995	4	2	1.69
troublé	193367	11995	4	2	1.69
1890	193367	11995	4	2	1.69
immortels	193367	11995	4	2	1.69
tranquillité	193367	11995	4	2	1.69
agité	193367	11995	4	2	1.69
croyant	193367	11995	4	2	1.69
noblesse	193367	11995	4	2	1.69
élevé	193367	11995	4	2	1.69
généreux	193367	11995	4	2	1.69
fausseté	193367	11995	4	2	1.69
solide	193367	11995	4	2	1.69
réfléchi	193367	11995	4	2	1.69
médiocre	193367	11995	4	2	1.69
fixer	193367	11995	4	2	1.69
distingué	193367	11995	4	2	1.69
douée	193367	11995	4	2	1.69
raisonne	193367	11995	4	2	1.69
péj	193367	11995	4	2	1.69
affectation	193367	11995	4	2	1.69
tort	193367	11995	4	2	1.69
déterminant	193367	11995	4	2	1.69
gaulois	193367	11995	4	2	1.69
synon	193367	11995	4	2	1.69
sang	193367	11995	4	2	1.69
disait	193367	11995	4	2	1.69
calmer	193367	11995	4	2	1.69
l'angle	193367	11995	4	2	1.69
proie	193367	11995	4	2	1.69
jugent	193367	11995	4	2	1.69
trompe	193367	11995	4	2	1.69
ancienne	193367	11995	4	2	1.69
légende	193367	11995	4	2	1.69
attentif	193367	11995	4	2	1.69
repartie	193367	11995	4	2	1.69
dédiée	193367	11995	4	2	1.69
envoie	193367	11995	4	2	1.69
abstrait	193367	11995	4	2	1.69
العربية	193367	11995	4	2	1.69
wiki	193367	11995	4	2	1.69
discute	193367	11995	4	2	1.69
magique	193367	11995	4	2	1.69
allé	193367	11995	4	2	1.69
revenons	193367	11995	4	2	1.69
joint	193367	11995	4	2	1.69
étayer	193367	11995	4	2	1.69
faudrait-il	193367	11995	4	2	1.69
dommage	193367	11995	4	2	1.69
recourir	193367	11995	4	2	1.69
intéresser	193367	11995	4	2	1.69
conférences	193367	11995	4	2	1.69
leblob	193367	11995	4	2	1.69
d'universcience	193367	11995	4	2	1.69
thèses	193367	11995	4	2	1.69
sociologia	193367	11995	4	2	1.69
forma	193367	11995	4	2	1.69
carnets	193367	11995	4	2	1.69
sommes	193367	11995	28	5	1.68
rechercher	193367	11995	73	9	1.66
troisième	193367	11995	19	4	1.66
se	193367	11995	803	59	1.64
supérieur	193367	11995	29	5	1.63
collectif	193367	11995	29	5	1.63
cahiers	193367	11995	11	3	1.63
1931	193367	11995	11	3	1.63
géométrie	193367	11995	11	3	1.63
château	193367	11995	11	3	1.63
vocabulaire	193367	11995	11	3	1.63
ordre	193367	11995	20	4	1.59
quelqu'un	193367	11995	20	4	1.59
évaluer	193367	11995	20	4	1.59
masculin	193367	11995	30	5	1.58
là	193367	11995	52	7	1.58
vue	193367	11995	64	8	1.57
articles	193367	11995	65	8	1.54
anciens	193367	11995	12	3	1.53
chair	193367	11995	12	3	1.53
fit	193367	11995	12	3	1.53
paroles	193367	11995	12	3	1.53
fantôme	193367	11995	12	3	1.53
bonnes	193367	11995	12	3	1.53
1951	193367	11995	12	3	1.53
royaume	193367	11995	12	3	1.53
application	193367	11995	12	3	1.53
l'établissement	193367	11995	12	3	1.53
média	193367	11995	12	3	1.53
phrase	193367	11995	12	3	1.53
internet	193367	11995	31	5	1.53
former	193367	11995	21	4	1.53
aptitude	193367	11995	21	4	1.53
tout	193367	11995	319	26	1.50
partic	193367	11995	5	2	1.50
1800	193367	11995	5	2	1.50
fracasse	193367	11995	5	2	1.50
1810	193367	11995	5	2	1.50
279	193367	11995	5	2	1.50
renan	193367	11995	5	2	1.50
142	193367	11995	5	2	1.50
diable	193367	11995	5	2	1.50
impression	193367	11995	5	2	1.50
soupçon	193367	11995	5	2	1.50
1929	193367	11995	5	2	1.50
contes	193367	11995	5	2	1.50
animée	193367	11995	5	2	1.50
ongles	193367	11995	5	2	1.50
mourir	193367	11995	5	2	1.50
henri	193367	11995	5	2	1.50
folie	193367	11995	5	2	1.50
devenant	193367	11995	5	2	1.50
indépendante	193367	11995	5	2	1.50
connexes	193367	11995	5	2	1.50
deutsch	193367	11995	5	2	1.50
español	193367	11995	5	2	1.50
étoiles	193367	11995	5	2	1.50
l'inspiration	193367	11995	5	2	1.50
executive	193367	11995	5	2	1.50
engagements	193367	11995	5	2	1.50
majoritairement	193367	11995	5	2	1.50
prolongement	193367	11995	5	2	1.50
d'articles	193367	11995	5	2	1.50
proviennent	193367	11995	5	2	1.50
participe	193367	11995	5	2	1.50
chiousse	193367	11995	5	2	1.50
rendre	193367	11995	43	6	1.49
libre	193367	11995	43	6	1.49
françois	193367	11995	32	5	1.48
nature	193367	11995	93	10	1.48
dispositions	193367	11995	22	4	1.47
spiritus	193367	11995	13	3	1.44
84	193367	11995	13	3	1.44
plein	193367	11995	13	3	1.44
considérés	193367	11995	13	3	1.44
populaire	193367	11995	13	3	1.44
reçu	193367	11995	13	3	1.44
durant	193367	11995	13	3	1.44
durable	193367	11995	13	3	1.44
grands	193367	11995	33	5	1.44
b	193367	11995	96	10	1.41
développer	193367	11995	70	8	1.41
terre	193367	11995	46	6	1.39
qui	193367	11995	1517	96	1.38
agit	193367	11995	14	3	1.37
paix	193367	11995	14	3	1.37
femme	193367	11995	14	3	1.37
pluriel	193367	11995	14	3	1.37
cultiver	193367	11995	14	3	1.37
secret	193367	11995	14	3	1.37
nos	193367	11995	259	21	1.37
humain	193367	11995	72	8	1.36
l'être	193367	11995	24	4	1.36
commentaires	193367	11995	24	4	1.36
nous	193367	11995	562	40	1.35
partout	193367	11995	6	2	1.35
flaub	193367	11995	6	2	1.35
1874	193367	11995	6	2	1.35
tes	193367	11995	6	2	1.35
l'air	193367	11995	6	2	1.35
inférieur	193367	11995	6	2	1.35
philos	193367	11995	6	2	1.35
1937	193367	11995	6	2	1.35
calme	193367	11995	6	2	1.35
j'étais	193367	11995	6	2	1.35
1834	193367	11995	6	2	1.35
gide	193367	11995	6	2	1.35
rare	193367	11995	6	2	1.35
gros	193367	11995	6	2	1.35
martin	193367	11995	6	2	1.35
soumettre	193367	11995	6	2	1.35
dehors	193367	11995	6	2	1.35
employer	193367	11995	6	2	1.35
infinie	193367	11995	6	2	1.35
charité	193367	11995	6	2	1.35
biens	193367	11995	6	2	1.35
justement	193367	11995	6	2	1.35
with	193367	11995	6	2	1.35
franck	193367	11995	6	2	1.35
ramus	193367	11995	6	2	1.35
géométrique	193367	11995	6	2	1.35
vies	193367	11995	6	2	1.35
vocation	193367	11995	6	2	1.35
è	193367	11995	6	2	1.35
idéal	193367	11995	6	2	1.35
matière	193367	11995	60	7	1.34
lorsque	193367	11995	36	5	1.32
qu'on	193367	11995	61	7	1.31
latin	193367	11995	25	4	1.31
vie	193367	11995	267	21	1.30
tu	193367	11995	15	3	1.30
94	193367	11995	15	3	1.30
soi-même	193367	11995	15	3	1.30
n'importe	193367	11995	15	3	1.30
intérieur	193367	11995	15	3	1.30
l'origine	193367	11995	15	3	1.30
catalogue	193367	11995	15	3	1.30
s'agit	193367	11995	49	6	1.29
par	193367	11995	1038	64	1.29
travers	193367	11995	37	5	1.29
suite	193367	11995	37	5	1.29
mettre	193367	11995	50	6	1.27
blog	193367	11995	26	4	1.27
donne	193367	11995	38	5	1.25
cœur	193367	11995	38	5	1.25
gallimard	193367	11995	64	7	1.24
journal	193367	11995	64	7	1.24
À	193367	11995	106	10	1.24
bout	193367	11995	16	3	1.24
vent	193367	11995	16	3	1.24
l'	193367	11995	16	3	1.24
expression	193367	11995	16	3	1.24
votre	193367	11995	244	19	1.23
poèmes	193367	11995	7	2	1.23
spéc	193367	11995	7	2	1.23
sand	193367	11995	7	2	1.23
secondaire	193367	11995	7	2	1.23
mille	193367	11995	7	2	1.23
c'était	193367	11995	7	2	1.23
entendre	193367	11995	7	2	1.23
inf	193367	11995	7	2	1.23
bientôt	193367	11995	7	2	1.23
1945	193367	11995	7	2	1.23
geist	193367	11995	7	2	1.23
pl	193367	11995	7	2	1.23
État	193367	11995	7	2	1.23
tranquille	193367	11995	7	2	1.23
reçues	193367	11995	7	2	1.23
chartier	193367	11995	7	2	1.23
mortagne-au-perche	193367	11995	7	2	1.23
poète	193367	11995	7	2	1.23
croyait	193367	11995	7	2	1.23
nommé	193367	11995	7	2	1.23
analyses	193367	11995	7	2	1.23
forts	193367	11995	7	2	1.23
na	193367	11995	7	2	1.23
progressive	193367	11995	7	2	1.23
favorisent	193367	11995	7	2	1.23
originaux	193367	11995	7	2	1.23
internazionale	193367	11995	7	2	1.23
scientific	193367	11995	7	2	1.23
avez	193367	11995	27	4	1.22
1999	193367	11995	27	4	1.22
sens	193367	11995	152	13	1.22
point	193367	11995	108	10	1.21
d'affichage	193367	11995	1	1	1.21
resection	193367	11995	1	1	1.21
mar	193367	11995	1	1	1.21
lex	193367	11995	1	1	1.21
hannibal	193367	11995	1	1	1.21
hamilcar	193367	11995	1	1	1.21
l'alpha	193367	11995	1	1	1.21
237	193367	11995	1	1	1.21
veni	193367	11995	1	1	1.21
thÉol	193367	11995	1	1	1.21
cath	193367	11995	1	1	1.21
procédant	193367	11995	1	1	1.21
descendit	193367	11995	1	1	1.21
188	193367	11995	1	1	1.21
variante	193367	11995	1	1	1.21
femelles	193367	11995	1	1	1.21
l'intermède	193367	11995	1	1	1.21
exhalés	193367	11995	1	1	1.21
nez	193367	11995	1	1	1.21
grossier	193367	11995	1	1	1.21
émane	193367	11995	1	1	1.21
rempart	193367	11995	1	1	1.21
s'évapore	193367	11995	1	1	1.21
cristal	193367	11995	1	1	1.21
éclairs	193367	11995	1	1	1.21
odorants	193367	11995	1	1	1.21
s'exhalent	193367	11995	1	1	1.21
chénier	193367	11995	1	1	1.21
Élégies	193367	11995	1	1	1.21
composés	193367	11995	1	1	1.21
parfumés	193367	11995	1	1	1.21
alcoolats	193367	11995	1	1	1.21
d'oranger	193367	11995	1	1	1.21
lavande	193367	11995	1	1	1.21
lar	193367	11995	1	1	1.21
mén	193367	11995	1	1	1.21
réchaufferait	193367	11995	1	1	1.21
l'atelier	193367	11995	1	1	1.21
lampe	193367	11995	1	1	1.21
vatard	193367	11995	1	1	1.21
désuet	193367	11995	1	1	1.21
d'anhydride	193367	11995	1	1	1.21
d'acide	193367	11995	1	1	1.21
dulcifié	193367	11995	1	1	1.21
461	193367	11995	1	1	1.21
volatil	193367	11995	1	1	1.21
sous-carbonate	193367	11995	1	1	1.21
d'ammoniaque	193367	11995	1	1	1.21
493	193367	11995	1	1	1.21
rectifié	193367	11995	1	1	1.21
littré-robin	193367	11995	1	1	1.21
1858	193367	11995	1	1	1.21
spiritueuses	193367	11995	1	1	1.21
alcools	193367	11995	1	1	1.21
l'ivresse	193367	11995	1	1	1.21
communicative	193367	11995	1	1	1.21
cachés	193367	11995	1	1	1.21
boissons	193367	11995	1	1	1.21
innocentes	193367	11995	1	1	1.21
amolli	193367	11995	1	1	1.21
psycho-physiol	193367	11995	1	1	1.21
légère	193367	11995	1	1	1.21
chaude	193367	11995	1	1	1.21
dissipation	193367	11995	1	1	1.21
roidis	193367	11995	1	1	1.21
engourdis	193367	11995	1	1	1.21
dusaulx	193367	11995	1	1	1.21
voy	193367	11995	1	1	1.21
barège	193367	11995	1	1	1.21
désordonnés	193367	11995	1	1	1.21
usités	193367	11995	1	1	1.21
poss	193367	11995	1	1	1.21
évanoui	193367	11995	1	1	1.21
jetez-lui	193367	11995	1	1	1.21
grièvement	193367	11995	1	1	1.21
navrée	193367	11995	1	1	1.21
rouvre	193367	11995	1	1	1.21
164	193367	11995	1	1	1.21
ressaisir	193367	11995	1	1	1.21
apaisez-vous	193367	11995	1	1	1.21
posément	193367	11995	1	1	1.21
j'eusse	193367	11995	1	1	1.21
recouvré	193367	11995	1	1	1.21
farrère	193367	11995	1	1	1.21
assass	193367	11995	1	1	1.21
1907	193367	11995	1	1	1.21
inquiets	193367	11995	1	1	1.21
incertains	193367	11995	1	1	1.21
s'adoucissent	193367	11995	1	1	1.21
flûte	193367	11995	1	1	1.21
avoit	193367	11995	1	1	1.21
ranimer	193367	11995	1	1	1.21
abattus	193367	11995	1	1	1.21
135	193367	11995	1	1	1.21
l'effroi	193367	11995	1	1	1.21
indécis	193367	11995	1	1	1.21
lents	193367	11995	1	1	1.21
occupation	193367	11995	1	1	1.21
ès	193367	11995	1	1	1.21
mallarmé	193367	11995	1	1	1.21
314	193367	11995	1	1	1.21
j'aurais	193367	11995	1	1	1.21
augurer	193367	11995	1	1	1.21
bouillonnements	193367	11995	1	1	1.21
palpitations	193367	11995	1	1	1.21
composa	193367	11995	1	1	1.21
mixte	193367	11995	1	1	1.21
révol	193367	11995	1	1	1.21
s'unir	193367	11995	1	1	1.21
adoré	193367	11995	1	1	1.21
gilson	193367	11995	1	1	1.21
aspirations	193367	11995	1	1	1.21
l'ennemie	193367	11995	1	1	1.21
1856	193367	11995	1	1	1.21
succomber	193367	11995	1	1	1.21
tentations	193367	11995	1	1	1.21
théol	193367	11995	1	1	1.21
ravi	193367	11995	1	1	1.21
n'adorera	193367	11995	1	1	1.21
jérusalem	193367	11995	1	1	1.21
474	193367	11995	1	1	1.21
choisissant	193367	11995	1	1	1.21
jouissent	193367	11995	1	1	1.21
contemplations	193367	11995	1	1	1.21
ozanam	193367	11995	1	1	1.21
dante	193367	11995	1	1	1.21
ricanement	193367	11995	1	1	1.21
l'orgie	193367	11995	1	1	1.21
quinet	193367	11995	1	1	1.21
ital	193367	11995	1	1	1.21
115	193367	11995	1	1	1.21
dégrade	193367	11995	1	1	1.21
vague	193367	11995	1	1	1.21
émeut	193367	11995	1	1	1.21
vagabondes	193367	11995	1	1	1.21
immensités	193367	11995	1	1	1.21
chimères	193367	11995	1	1	1.21
706	193367	11995	1	1	1.21
rosée	193367	11995	1	1	1.21
eût-il	193367	11995	1	1	1.21
éprouvées	193367	11995	1	1	1.21
pères	193367	11995	1	1	1.21
pures	193367	11995	1	1	1.21
duhamel	193367	11995	1	1	1.21
céluta	193367	11995	1	1	1.21
pria	193367	11995	1	1	1.21
demandoit	193367	11995	1	1	1.21
