token	corpus size	all contexts size	frequency	co-frequency	specificity
метафизике	76243	4292	1	1	1.25
позднего	76243	4292	1	1	1.25
Шелера	76243	4292	1	1	1.25
изначальное	76243	4292	1	1	1.25
бессильного	76243	4292	1	1	1.25
мощного	76243	4292	1	1	1.25
слепого	76243	4292	1	1	1.25
витального	76243	4292	1	1	1.25
порыва	76243	4292	1	1	1.25
разрешается	76243	4292	1	1	1.25
взаимопроникновение	76243	4292	1	1	1.25
оживотворению	76243	4292	1	1	1.25
осуществлению	76243	4292	1	1	1.25
deitas	76243	4292	1	1	1.25
Гартмана	76243	4292	1	1	1.25
высший	76243	4292	1	1	1.25
слой	76243	4292	1	1	1.25
психики	76243	4292	1	1	1.25
философской	76243	4292	1	1	1.25
мотивационно-смысловых	76243	4292	1	1	1.25
аспектов	76243	4292	1	1	1.25
творческих	76243	4292	1	1	1.25
потенций	76243	4292	1	1	1.25
ценностных	76243	4292	1	1	1.25
установок	76243	4292	1	1	1.25
Понимающая	76243	4292	1	1	1.25
Гуманистическая	76243	4292	1	1	1.25
широким	76243	4292	1	1	1.25
охватывая	76243	4292	1	1	1.25
вмещает	76243	4292	1	1	1.25
проводником	76243	4292	1	1	1.25
нрав	76243	4292	1	1	1.25
Шнорр	76243	4292	1	1	1.25
фон	76243	4292	1	1	1.25
Карольсфельд	76243	4292	1	1	1.25
Юлиус	76243	4292	1	1	1.25
Отцам	76243	4292	1	1	1.25
самостоятельная	76243	4292	1	1	1.25
соединен	76243	4292	1	1	1.25
земных	76243	4292	1	1	1.25
непорочности	76243	4292	1	1	1.25
Чудотворцу	76243	4292	1	1	1.25
воспринимаются	76243	4292	1	1	1.25
непостижим	76243	4292	1	1	1.25
непостижимому	76243	4292	1	1	1.25
Уму	76243	4292	1	1	1.25
Первообраза	76243	4292	1	1	1.25
тождественен	76243	4292	1	1	1.25
нетварного	76243	4292	1	1	1.25
тварен	76243	4292	1	1	1.25
ограничен	76243	4292	1	1	1.25
ограничена	76243	4292	1	1	1.25
конечна	76243	4292	1	1	1.25
рассматривание	76243	4292	1	1	1.25
живущую	76243	4292	1	1	1.25
составляющую	76243	4292	1	1	1.25
признаком	76243	4292	1	1	1.25
Эту	76243	4292	1	1	1.25
словесности	76243	4292	1	1	1.25
Сюда	76243	4292	1	1	1.25
отнесены	76243	4292	1	1	1.25
мыслить	76243	4292	1	1	1.25
изящного	76243	4292	1	1	1.25
различно	76243	4292	1	1	1.25
Различается	76243	4292	1	1	1.25
глубокого	76243	4292	1	1	1.25
аскетического	76243	4292	1	1	1.25
Иное	76243	4292	1	1	1.25
Якоже	76243	4292	1	1	1.25
суще	76243	4292	1	1	1.25
1820	76243	4292	1	1	1.25
вдохнул	76243	4292	1	1	1.25
завершая	76243	4292	1	1	1.25
вдохнутый	76243	4292	1	1	1.25
сочетавшись	76243	4292	1	1	1.25
возвысил	76243	4292	1	1	1.25
одуховленной	76243	4292	1	1	1.25
исшедшая	76243	4292	1	1	1.25
осязательные	76243	4292	1	1	1.25
каких	76243	4292	1	1	1.25
Мздовоздаятель	76243	4292	1	1	1.25
написанный	76243	4292	1	1	1.25
Исповедуя	76243	4292	1	1	1.25
благоговеинствует	76243	4292	1	1	1.25
Сознавая	76243	4292	1	1	1.25
руководила	76243	4292	1	1	1.25
Сообщив	76243	4292	1	1	1.25
частичку	76243	4292	1	1	1.25
всеведения	76243	4292	1	1	1.25
указанном	76243	4292	1	1	1.25
естественном	76243	4292	1	1	1.25
символе	76243	4292	1	1	1.25
начертал	76243	4292	1	1	1.25
судить	76243	4292	1	1	1.25
исправности	76243	4292	1	1	1.25
неисправности	76243	4292	1	1	1.25
Сия	76243	4292	1	1	1.25
недовольство	76243	4292	1	1	1.25
тварное	76243	4292	1	1	1.25
исшедши	76243	4292	1	1	1.25
небесному	76243	4292	1	1	1.25
разъясняю	76243	4292	1	1	1.25
проявлений	76243	4292	1	1	1.25
навожу	76243	4292	1	1	1.25
Вашу	76243	4292	1	1	1.25
довесть	76243	4292	1	1	1.25
убеждения	76243	4292	1	1	1.25
умаленными	76243	4292	1	1	1.25
ходящих	76243	4292	1	1	1.25
фраз	76243	4292	1	1	1.25
отличительных	76243	4292	1	1	1.25
черт	76243	4292	1	1	1.25
идеальных	76243	4292	1	1	1.25
дознаваемых	76243	4292	1	1	1.25
неуловимых	76243	4292	1	1	1.25
неосязаемых	76243	4292	1	1	1.25
присущ	76243	4292	1	1	1.25
живая	76243	4292	1	1	1.25
ощущаемыми	76243	4292	1	1	1.25
вывели	76243	4292	1	1	1.25
заключение	76243	4292	1	1	1.25
Воздействие	76243	4292	1	1	1.25
мыслительной	76243	4292	1	1	1.25
прервано	76243	4292	1	1	1.25
привзошло	76243	4292	1	1	1.25
преобразилась	76243	4292	1	1	1.25
мысленность	76243	4292	1	1	1.25
богоподобию	76243	4292	1	1	1.25
предназначено	76243	4292	1	1	1.25
символа	76243	4292	1	1	1.25
Мыслители	76243	4292	1	1	1.25
веря	76243	4292	1	1	1.25
построеваемым	76243	4292	1	1	1.25
несправедливо	76243	4292	1	1	1.25
поступают	76243	4292	1	1	1.25
стремлений	76243	4292	1	1	1.25
повсюдны	76243	4292	1	1	1.25
начертана	76243	4292	1	1	1.25
норма	76243	4292	1	1	1.25
праведной	76243	4292	1	1	1.25
незримою	76243	4292	1	1	1.25
решается	76243	4292	1	1	1.25
ввесть	76243	4292	1	1	1.25
посвящал	76243	4292	1	1	1.25
достояния	76243	4292	1	1	1.25
красоте	76243	4292	1	1	1.25
ведающий	76243	4292	1	1	1.25
постигает	76243	4292	1	1	1.25
единою	76243	4292	1	1	1.25
Красоту	76243	4292	1	1	1.25
райская	76243	4292	1	1	1.25
постигая	76243	4292	1	1	1.25
сладостные	76243	4292	1	1	1.25
отрешенные	76243	4292	1	1	1.25
чувственного	76243	4292	1	1	1.25
возвышающие	76243	4292	1	1	1.25
одуховляющие	76243	4292	1	1	1.25
Замечу	76243	4292	1	1	1.25
произведений	76243	4292	1	1	1.25
отношу	76243	4292	1	1	1.25
всегдашнюю	76243	4292	1	1	1.25
обстановку	76243	4292	1	1	1.25
красивости	76243	4292	1	1	1.25
водимая	76243	4292	1	1	1.25
выражения	76243	4292	1	1	1.25
прекрасного	76243	4292	1	1	1.25
воздействием	76243	4292	1	1	1.25
сочетан	76243	4292	1	1	1.25
зовется	76243	4292	1	1	1.25
противятся	76243	4292	1	1	1.25
особой	76243	4292	1	1	1.25
субстанцией	76243	4292	1	1	1.25
Стефан	76243	4292	1	1	1.25
Крымский	76243	4292	1	1	1.25
Бородинская	76243	4292	1	1	1.25
СОШ	76243	4292	1	1	1.25
духовно	76243	4292	1	1	1.25
пасовать	76243	4292	1	1	1.25
трудностями	76243	4292	1	1	1.25
находить	76243	4292	1	1	1.25
качеством	76243	4292	1	1	1.25
преодолевать	76243	4292	1	1	1.25
лень	76243	4292	1	1	1.25
Силу	76243	4292	1	1	1.25
объединяют	76243	4292	1	1	1.25
рассматривая	76243	4292	1	1	1.25
неотъемлемые	76243	4292	1	1	1.25
классном	76243	4292	1	1	1.25
коллективе	76243	4292	1	1	1.25
прозвучало	76243	4292	1	1	1.25
моральный	76243	4292	1	1	1.25
облик	76243	4292	1	1	1.25
одобрения	76243	4292	1	1	1.25
калечит	76243	4292	1	1	1.25
поступаясь	76243	4292	1	1	1.25
неимоверную	76243	4292	1	1	1.25
предлагать	76243	4292	1	1	1.25
кандидатуры	76243	4292	1	1	1.25
аргументируя	76243	4292	1	1	1.25
слышали	76243	4292	1	1	1.25
классных	76243	4292	1	1	1.25
часах	76243	4292	1	1	1.25
патриотизма	76243	4292	1	1	1.25
отваги	76243	4292	1	1	1.25
Девятиклассники	76243	4292	1	1	1.25
воодушевились	76243	4292	1	1	1.25
Игорем	76243	4292	1	1	1.25
непростые	76243	4292	1	1	1.25
долгожданная	76243	4292	1	1	1.25
состоялась	76243	4292	1	1	1.25
интересом	76243	4292	1	1	1.25
гостя	76243	4292	1	1	1.25
ожидании	76243	4292	1	1	1.25
услышать	76243	4292	1	1	1.25
пробудить	76243	4292	1	1	1.25
итогам	76243	4292	1	1	1.25
встречи	76243	4292	1	1	1.25
услышанного	76243	4292	1	1	1.25
архиве	76243	4292	1	1	1.25
военно-учетного	76243	4292	1	1	1.25
воинам-интернационалистам	76243	4292	1	1	1.25
ориентир	76243	4292	1	1	1.25
учащиеся	76243	4292	1	1	1.25
оценили	76243	4292	1	1	1.25
понятий	76243	4292	1	1	1.25
изменить	76243	4292	1	1	1.25
простая	76243	4292	1	1	1.25
Развитая	76243	4292	1	1	1.25
оценивать	76243	4292	1	1	1.25
Настасья	76243	4292	1	1	1.25
Матрохина	76243	4292	1	1	1.25
Иллюстрации	76243	4292	1	1	1.25
обостренным	76243	4292	1	1	1.25
гулять	76243	4292	1	1	1.25
Покоя	76243	4292	1	1	1.25
собраться	76243	4292	1	1	1.25
тяжелой	76243	4292	1	1	1.25
ручному	76243	4292	1	1	1.25
ткачеству	76243	4292	1	1	1.25
гобелен	76243	4292	1	1	1.25
кризисов	76243	4292	1	1	1.25
Важное	76243	4292	1	1	1.25
подчеркнуть	76243	4292	1	1	1.25
читает	76243	4292	1	1	1.25
редакция	76243	4292	1	1	1.25
поднятия	76243	4292	1	1	1.25
Совместность	76243	4292	1	1	1.25
рождает	76243	4292	1	1	1.25
небывалое	76243	4292	1	1	1.25
Понравилась	76243	4292	1	1	1.25
статья	76243	4292	1	1	1.25
Подпишитесь	76243	4292	1	1	1.25
выбрали	76243	4292	1	1	1.25
Падения	76243	4292	1	1	1.25
провалы	76243	4292	1	1	1.25
разочарования	76243	4292	1	1	1.25
благосклонна	76243	4292	1	1	1.25
сурова	76243	4292	1	1	1.25
Хорошая	76243	4292	1	1	1.25
новость	76243	4292	1	1	1.25
выработать	76243	4292	1	1	1.25
ставят	76243	4292	1	1	1.25
сомнение	76243	4292	1	1	1.25
заманивая	76243	4292	1	1	1.25
стрессовой	76243	4292	1	1	1.25
подает	76243	4292	1	1	1.25
восприемлет	76243	4292	1	1	1.25
полноценной	76243	4292	1	1	1.25
организовать	76243	4292	1	1	1.25
главнейших	76243	4292	1	1	1.25
Силуан	76243	4292	1	1	1.25
Туманов	76243	4292	1	1	1.25
Спасение	76243	4292	1	1	1.25
возрастание	76243	4292	1	1	1.25
белорусские	76243	4292	1	1	1.25
Гаевый	76243	4292	1	1	1.25
Дед	76243	4292	1	1	1.25
Гаюн	76243	4292	1	1	1.25
порядком	76243	4292	1	1	1.25
охраняет	76243	4292	1	1	1.25
нетронутых	76243	4292	1	1	1.25
жертве	76243	4292	1	1	1.25
Зазывка	76243	4292	1	1	1.25
женский	76243	4292	1	1	1.25
заманить	76243	4292	1	1	1.25
глубь	76243	4292	1	1	1.25
Имела	76243	4292	1	1	1.25
красивой	76243	4292	1	1	1.25
Пушица	76243	4292	1	1	1.25
Подвей	76243	4292	1	1	1.25
вращается	76243	4292	1	1	1.25
вихре	76243	4292	1	1	1.25
налететь	76243	4292	1	1	1.25
наслать	76243	4292	1	1	1.25
Богдановича	76243	4292	1	1	1.25
лозе	76243	4292	1	1	1.25
Представлялся	76243	4292	1	1	1.25
стареньким	76243	4292	1	1	1.25
одноглазым	76243	4292	1	1	1.25
карликом	76243	4292	1	1	1.25
непостоянство	76243	4292	1	1	1.25
погоды	76243	4292	1	1	1.25
историй	76243	4292	1	1	1.25
общему	76243	4292	1	1	1.25
становясь	76243	4292	1	1	1.25
мертвого	76243	4292	1	1	1.25
древнегерманский	76243	4292	1	1	1.25
kynfylgja	76243	4292	1	1	1.25
отличавшийся	76243	4292	1	1	1.25
mannsfylgja	76243	4292	1	1	1.25
родовая	76243	4292	1	1	1.25
эвенков	76243	4292	1	1	1.25
частями	76243	4292	1	1	1.25
аналогичные	76243	4292	1	1	1.25
хеттской	76243	4292	1	1	1.25
хетт	76243	4292	1	1	1.25
hantašepa	76243	4292	1	1	1.25
лба	76243	4292	1	1	1.25
Šakuušša	76243	4292	1	1	1.25
глазной	76243	4292	1	1	1.25
Востока	76243	4292	1	1	1.25
Подушиться	76243	4292	1	1	1.25
Вечерние	76243	4292	1	1	1.25
Кузнецова	76243	4292	1	1	1.25
Даля	76243	4292	1	1	1.25
ов	76243	4292	1	1	1.25
Парфюмерное	76243	4292	1	1	1.25
ароматическая	76243	4292	1	1	1.25
тяжелыми	76243	4292	1	1	1.25
алтаря	76243	4292	1	1	1.25
потерял	76243	4292	1	1	1.25
присутствия	76243	4292	1	1	1.25
священнодействие	76243	4292	1	1	1.25
прочтении	76243	4292	1	1	1.25
3-го	76243	4292	1	1	1.25
ветки	76243	4292	1	1	1.25
Подстреленная	76243	4292	1	1	1.25
иль	76243	4292	1	1	1.25
Сраженный	76243	4292	1	1	1.25
битве	76243	4292	1	1	1.25
испускает	76243	4292	1	1	1.25
атом	76243	4292	1	1	1.25
гибнет	76243	4292	1	1	1.25
Кончается	76243	4292	1	1	1.25
Дэль-Оуэн	76243	4292	1	1	1.25
Спорная	76243	4292	1	1	1.25
слыханной	76243	4292	1	1	1.25
неземной	76243	4292	1	1	1.25
гармонии	76243	4292	1	1	1.25
замирал	76243	4292	1	1	1.25
восторга	76243	4292	1	1	1.25
Прибыл	76243	4292	1	1	1.25
хорошем	76243	4292	1	1	1.25
расположении	76243	4292	1	1	1.25
радушно	76243	4292	1	1	1.25
поздний	76243	4292	1	1	1.25
